Date,Duration,Value
2024-01-01 00:00,60,1.2
2024-01-01 01:00,60,1.1
2024-01-01 02:00,60,1.0
2024-01-01 03:00,60,0.9
2024-01-01 04:00,60,0.8
2024-01-01 05:00,60,0.9
2024-01-01 06:00,60,1.2
2024-01-01 07:00,60,2.1
2024-01-01 08:00,60,3.5
2024-01-01 09:00,60,4.2
2024-01-01 10:00,60,4.8
2024-01-01 11:00,60,5.1
2024-01-01 12:00,60,5.8
2024-01-01 13:00,60,5.5
2024-01-01 14:00,60,5.2
2024-01-01 15:00,60,4.9
2024-01-01 16:00,60,4.6
2024-01-01 17:00,60,5.2
2024-01-01 18:00,60,6.1
2024-01-01 19:00,60,6.8
2024-01-01 20:00,60,5.9
2024-01-01 21:00,60,4.8
2024-01-01 22:00,60,3.2
2024-01-01 23:00,60,2.1
2024-01-02 00:00,60,1.3
2024-01-02 01:00,60,1.2
2024-01-02 02:00,60,1.1
2024-01-02 03:00,60,1.0
2024-01-02 04:00,60,0.9
2024-01-02 05:00,60,1.0
2024-01-02 06:00,60,1.3
2024-01-02 07:00,60,2.2
2024-01-02 08:00,60,3.6
2024-01-02 09:00,60,4.3
2024-01-02 10:00,60,4.9
2024-01-02 11:00,60,5.2
2024-01-02 12:00,60,5.9
2024-01-02 13:00,60,5.6
2024-01-02 14:00,60,5.3
2024-01-02 15:00,60,5.0
2024-01-02 16:00,60,4.7
2024-01-02 17:00,60,5.3
2024-01-02 18:00,60,6.2
2024-01-02 19:00,60,6.9
2024-01-02 20:00,60,6.0
2024-01-02 21:00,60,4.9
2024-01-02 22:00,60,3.3
2024-01-02 23:00,60,2.2
